Code,Category,Pile
fl,"flowers, fl",Orchid monocots
fr,"fruits, fr",Orchid monocots
ha,"habit, ha",Orchid monocots
pf,"plant form, pf",Orchid monocots
in,"inflorescences, in",Orchid monocots
le,"leaves, le",Orchid monocots
co,"comparison, co",Orchid monocots
pc,"protocorm, pc",Orchid monocots
pr,"protocorm, pr",Orchid monocots
rh,"rhizome, rh",Orchid monocots
rt,"root, rt",Orchid monocots
in,"inflorescences, in",Orchid monocots
st,"stem, st",Orchid monocots
lf,"leaf, lf",Orchid monocots
