pile,character_group,character,Units,filter_label,friendly_text,hint,ease_of_observability,Key_characteristics,Notable_exceptions,Image_name,Default_Question
Lycophytes,lycophyte length measurements,trophophyll_length_min_ly,mm,,,,3,,,,
Lycophytes,lycophyte length measurements,trophophyll_length_max_ly,mm,,,,3,,,,
Lycophytes,lycophyte length measurements,upright_shoot_height_min_ly,mm,,,,1,,,,
Lycophytes,lycophyte length measurements,upright_shoot_height_max_ly,mm,,,,1,,,,
Lycophytes,lycophyte length measurements,horizontal_shoot_length_min_ly,mm,,What is the minimum length of the horizontal stem?,,4,,,,
Lycophytes,lycophyte length measurements,horizontal_shoot_length_max_ly,mm,,What is the maximum length of the horizontal stem?,,4,,,,
Lycophytes,lycophyte length measurements,horizontal_shoot_diameter_excluding_trophophylls_min_ly,mm,,"What is the minimum thickness of the horizontal stem, without its leaves?",,4,,,,
Lycophytes,lycophyte length measurements,horizontal_shoot_diameter_excluding_trophophylls_max_ly,mm,,"What is the maximum  thickness of the horizontal stem, without its leaves?",,4,,,,
Lycophytes,lycophyte length measurements,sporophyll_length_min_ly,mm,,What is the minimum length of a leaf on the spore cone?,Measure down the midrib of the leaf,3,,,,
Lycophytes,lycophyte length measurements,sporophyll_length_max_ly,mm,,What is the maximum length of a leaf on the spore cone?,Measure down the midrib of the leaf,3,,,,
Lycophytes,lycophyte length measurements,strobilus_height_min_ly,mm,,What is the minimum length of the spore cone?,,3,,,,
Lycophytes,lycophyte length measurements,strobilus_height_max_ly,mm,,What is the maximum length of the spore cone?,,3,,,,
Lycophytes,lycophyte length measurements,strobilus_width_min_ly,mm,,,,4,,,,
Lycophytes,lycophyte length measurements,strobilus_width_max_ly,mm,,,,4,,,,
Lycophytes,lycophyte length measurements,strobilus_stalk_width_min_ly,mm,,,,5,,,,
Lycophytes,lycophyte length measurements,strobilus_stalk_width_max_ly,mm,,,,5,,,,
Lycophytes,lycophyte length measurements,strobilus_number_per_upright_shoot_min_ly,mm,,,,2,,,,
