scientific_name,species_name,subspecific_epithet,state,county,status
Acer rubrum,Acer rubrum,,CT,,Species present in state and native
Acer rubrum,Acer rubrum,,MA,,Species present in state and native
Acer rubrum,Acer rubrum,,ME,,Species present in state and native
Acer rubrum,Acer rubrum,,NH,,Species present in state and native
Acer rubrum,Acer rubrum,,RI,,Species present in state and native
Acer rubrum,Acer rubrum,,VT,,Species present in state and native
Carex kobomugi,Carex kobomugi,,CT,,Species not present in state
Carex kobomugi,Carex kobomugi,,MA,,Species present in state and exotic
Carex kobomugi,Carex kobomugi,,ME,,Species not present in state
Carex kobomugi,Carex kobomugi,,NH,,Species not present in state
Carex kobomugi,Carex kobomugi,,RI,,Species present in state and exotic
Carex kobomugi,Carex kobomugi,,VT,,Species not present in state
Carex kobomugi,Carex kobomugi,,WA,,Species not present in state
Carex kobomugi,Carex kobomugi,,WI,,Species not present in state
Carex kobomugi,Carex kobomugi,,WV,,Species not present in state
Carex kobomugi,Carex kobomugi,,WY,,Species not present in state
Carex kobomugi,Carex kobomugi,,YT,,Species not present in state
