Pile,Simple_key,Family,Scientific_Name,Taxonomic_Authority,habit_nm,habit_nm_litsrc,roots_nm,roots_nm_litsrc,laticifers_nm,laticifers_nm_litsrc,flowering_stem_habit_nm,flowering_stem_habit_nm_litsrc,flowering_stem_form_nm,flowering_stem_form_nm_litsrc,underground_organs_nm,underground_organs_nm_litsrc,odor_nm,odor_nm_litsrc,axillary_bulblets_nm,axillary_bulblets_nm_litsrc,flowering_stem_interior_nm,flowering_stem_interior_nm_litsrc,flowering_stem_width_min_nm,flowering_stem_width_max_nm,flowering_stem_width_nm_litsrc,stem_indument_nm,stem_indument_nm_litsrc,leaf_arrangement_nm,leaf_arrangement_nm_litsrc,leaf_type_nm,leaf_type_nm_litsrc,leaflet_number_min_nm,leaflet_number_max_nm,leaflet_number_nm_litsrc,leaf_blade_nm,leaf_blade_nm_litsrc,leaf_lobes_general_nm,leaf_lobes_general_nm_litsrc,leaf_blade_veins_nm,leaf_blade_veins_nm_litsrc,leaf_blade_length_min_nm,leaf_blade_length_max_nm,leaf_blade_length_nm_litsrc,leaf_blade_width_min_nm,leaf_blade_width_max_nm,leaf_blade_width_nm_litrsrc,leaf_blade_cross-section_nm,leaf_blade_cross-section_nm_litsrc,leaf_blade_shape_nm,leaf_blade_shape_nm_litsrc,leaf_blade_apex_nm,leaf_blade_apex_nm_litsrc,leaf_blade_base_shape_nm,leaf_blade_base_shape_nm_litsrc,leaf_blade_adaxial_indument_nm,leaf_blade_adaxial_indument_nm_litsrc,leaf_blade_abaxial_indument_nm,leaf_blade_abaxial_indument_nm_litsrc,leaf_blade_bloom_nm,leaf_blade_bloom_nm_litsrc,stipules_nm,stipules_nm_litsrc,stipule_form_nm,stipule_form_nm_litsrc,leaf_blade_base_nm,leaf_blade_base_nm_litsrc,petiole_length_min_nm,petiole_length_max_nm,petiole_length_nm_litsrc,leaf_orientation_nm,leaf_orientation_nm_litsrc,leaf_faces_nm,leaf_faces_nm_litsrc,leaf_blade_coloration_nm,leaf_blade_coloration_nm_litsrc
Non-orchid Monocots,TRUE,Acoraceae,Acorus americanus,(Raf.) Raf.,perennial,42,1628,42,"absent (i.e., sap nmtery)",42,trailing or floating,42,scapose,46,"roots, rhizomes",42,"fresh foliage with an odor of lemon, citrus, or fruit",42,absent,42,,,,,,glabrous,45,basal,43,simple,42,,,,"present (i.e., leaf with expanded blade)",42,without basal lobes,42,with parallel or arcuate lateral veins,42,181,1667,42,3,13,42,semiciruclar to terete,42,linear,42,,,,,,,,,,,,,,,sessile,42,,,,1729,42,unifacial,44,"adaxial surface lacking spots, mottles, and stripes",42
Non-orchid Monocots,TRUE,Acoraceae,Acorus calamus,L.,perennial,42,1628,42,"absent (i.e., sap nmtery)",42,trailing or floating,42,scapose,46,"roots, rhizomes",42,"fresh foliage with an odor of lemon, citrus, or fruit",42,absent,42,,,,,,glabrous,45,basal,43,simple,42,,,,"present (i.e., leaf with expanded blade)",42,without basal lobes,42,with parallel or arcuate lateral veins,42,221,1750,42,5,20,42,flat,46,linear,42,acute,45,,,,,,,,,,,,,sessile,42,,,,1729,42,unifacial,44,"adaxial surface lacking spots, mottles, and stripes",42
Non-orchid Monocots,TRUE,Nartheciaceae,Aletris farinosa,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"roots, rhizomes",45,,,absent,41,,,,,,,,basal,41,simple,41,,,,"absent (i.e., leaf phyllodial)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,40,200,41,5,26,41,flat,41,"linear, lanceolate",41,acuminate,46,,,,,,,,,,,,,clasping or perfoliate,41,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Alismataceae,Alisma subcordatum,Raf.,perennial,42,1628,42,"present (i.e., sap milky)",42,upright,42,scapose,42,"roots, rhizomes",42,,,absent,42,,,,,,glabrous,42,basal,42,simple,42,,,,"present (i.e., leaf with expanded blade)",42,without basal lobes,42,with pinnately or palmately branched lateral veins,42,30,180,46,20,120,46,,,"lanceolate, ovate",44,,,"rounded, truncate, cordate or sagittate",46,,,,,,,,,,,petiolate,42,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",42
Non-orchid Monocots,TRUE,Alismataceae,Alisma triviale,Pursh,perennial,42,1628,42,"present (i.e., sap milky)",42,upright,42,scapose,42,"roots, rhizomes",42,,,absent,42,,,,,,glabrous,42,basal,42,simple,42,,,,"present (i.e., leaf with expanded blade)",42,without basal lobes,42,with pinnately or palmately branched lateral veins,42,,,,30,120,42,,,"linear, elliptic, lanceolate, ovate",42,,,"rounded, cordate or sagittate",46,,,,,,,,,,,petiolate,42,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",42
Non-orchid Monocots,TRUE,Alliaceae,Allium canadense,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"tubers, bulbs, or corms",41,fresh foliage with odor of onion or garlic,41,,,,,1,5,41,,,basal,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,200,500,41,1,5,41,"flat, channelled (i.e., U-shaped)",41,linear,46,"obtuse, acute",41,,,,,,,,,,,,,sessile,41,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Alliaceae,Allium schoenoprasum,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"rhizomes, tubers, bulbs, or corms",41,fresh foliage with odor of onion or garlic,41,,,hollow,43,3,5,41,,,basal,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,200,600,41,2,7,41,semiciruclar to terete,41,"filiform, linear",43,,,,,1646,45,glabrous or essentially so,45,,,,,,,sessile,41,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Alliaceae,Allium tricoccum,Ait.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"rhizomes, tubers, bulbs, or corms",41,fresh foliage with odor of onion or garlic,41,,,,,2,4,41,,,basal,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,150,400,41,15,90,41,flat,41,"elliptic, lanceolate",41,,,,,,,,,,,,,,,petiolate,41,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Araceae,Arisaema triphyllum,(L.) Schott,perennial,42,1628,42,"present (i.e., sap milky)",42,upright,42,scapose,42,"roots, tubers, bulbs, or corms",42,,,,,,,,,,,,basal,42,compound,42,3,5,42,"present (i.e., leaf with expanded blade)",42,without basal lobes,42,with pinnately or palmately branched lateral veins,44,,300,42,,200,42,flat,44,"elliptic, ovate",42,"obtuse, acute, acuminate",42,"cuneate or narrow, rounded",42,,,,,"1648, 1725",42,,,,,petiolate,46,300,600,46,,,bifacial,44,"adaxial surface lacking spots, mottles, and stripes",42
Non-orchid Monocots,TRUE,Asparagaceae,Asparagus officinalis,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,with at least one well-formed leaf produced above the base,41,"rhizomes, tubers, bulbs, or corms",41,,,,,,,,,,glabrous,43,,,simple,41,,,,"absent (i.e., leaf phyllodial), present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,3,4,41,,,,,,lanceolate,41,,,,,,,,,,,,,,,,,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
