Pile,Simple_key,Family,Scientific_Name,Taxonomic_Authority,inflorescence_type_nm,inflorescence_type_nm_litsrc,inflorescence_length_min_nm,inflorescence_length_max_nm,inflorescence_length_nm_litsrc,inflorescence_width_min_nm,inflorescence_width_max_nm,inflorescence_width_nm_litsrc,flower_number_min_nm,flower_number_max_nm,flower_number_nm_litsrc,inflorescence_indument_nm,inflorescence_indument_nm_litsrc,peduncle_length_min_nm,peduncle_length_max_nm,peduncle_length_nm_litsrc,pedicel_length_min_nm,pedicel_length_max_nm,pedicel_length_nm_litsrc,fruiting_pedicel_orientation_nm,fruiting_pedicel_orientation_nm_litsrc,pedicel_indument_nm,pedicel_indument_nm_litsrc,spathe_nm,spathe_nm_litsrc,spathe_length_min_nm,spathe_length_max_nm,spathe_length_nm_litsrc,spathe_morphology_nm,spathe_morphology_nm_litsrc,floral_bracts_nm,floral_bracts_nm_litsrc,floral_bract_length_min_nm,floral_bract_length_max_nm,floral_bract_length_nm_litsrc,inflorescence_bract_position_Sparganium_nm,inflorescence_bract_position_Sparganium_nm_litsrc,fruit_length_min_nm,fruit_length_max_nm,fruit_length_nm_litsrc,flower_orientation_nm,flower_orientation_nm_litsrc,fruit_width_min_nm,fruit_width_max_nm,fruit_width_nm_litsrc,fruit_beak_length_min_nm,fruit_beak_length_max_nm,fruit_beak_length_nm_litsrc,fruit_type_general_nm,fruit_type_general_nm_litsrc,fruit_type_specific_nm,fruit_type_specific_nm_litsrc,berry_color_nm,berry_color_nm_litsrc,berry_other_colors_nm,berry_other_colors_nm_litsrc,fruit_locules_nm,fruit_locules_nm_litsrc,fruit_cross-sectional_shape_nm,fruit_cross-sectional_shape_nm_litsrc,capsule_ribs_nm,capsule_ribs_nm_litsrc
"Non-thalloid aquatic, Non-orchid Monocots",TRUE,Eriocaulaceae,Eriocaulon aquaticum,(Hill) Druce,pseudanthium (including capitulum),43,3,8,43,4,10,42,,,,glabrous,42,30,200,46,,,,,,,,absent,42,,,,,,present,42,1,1.5,42,,,,,,,,,,,,,,dry and dehiscent,42,capsule,42,,,,,,,,,,
Non-orchid Monocots,TRUE,Liliaceae,Erythronium americanum,Ker-Gawl.,solitary flower,41,,,,,,,1,1,41,,,100,180,41,,,,,,,,,,,,,,,,,,,,,,12,15,41,,,,,,,,,dry and dehiscent,41,capsule,41,,,,,,,"flat or compressed, terete",41,,
Non-orchid Monocots,TRUE,Hemerocallidaceae,Hemerocallis fulva,(L.) L.,monochasial cyme,41,,,,,,,10,20,41,,,700,1000,41,3,6,41,,,,,absent,41,,,,,,,,,,,,,20,25,45,,,12,15,45,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,,,,
Non-orchid Monocots,TRUE,Hypoxidaceae,Hypoxis hirsuta,(L.) Coville,umbel,41,,,,,,,1,7,41,,,40,250,41,6,30,41,,,,,absent,41,,,,,,present,,1,17,41,,,3,6,46,,,,,,,,,dry and indehiscent,46,capsule,41,,,,,characters of fruit,46,flat or compressed,46,,
Non-orchid Monocots,TRUE,Iridaceae,Iris pseudacorus,L.,monochasial cyme,41,,,,,,,4,12,41,,,20,50,43,25,70,41,recurved ,44,,,present,41,60,90,41,merely subtending (but not enclosing) inflorescence,41,present,41,,,,,,35,60,41,,,,,,,5,41,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,"flat or compressed, other",41,3 ribs or wing-angles,41
Non-orchid Monocots,TRUE,Iridaceae,Iris versicolor,L.,monochasial cyme,41,,,,,,,2,4,41,,,,,,20,80,41,"erect, ascending, or spreading",44,,,present,41,30,60,41,merely subtending (but not enclosing) inflorescence,41,present,41,,,,,,15,60,41,,,,,,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,"terete, triangular",44,3 ribs or wing-angles,41
Non-orchid Monocots,TRUE,Liliaceae,Lilium canadense,L.,raceme,41,,,,,,,1,17,41,glabrous,41,,,,50,235,41,,,,,,,,,,,,present,41,,,,,,30,52,41,,,15,23,41,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,"flat or compressed, terete",41,no prominent ribs or wing-angles,41
Non-orchid Monocots,TRUE,Liliaceae,Lilium philadelphicum,L.,umbel,41,,,,,,,1,6,41,glabrous,41,,,,25,105,41,,,,,,,,,,,,present,41,,,,,,22,77,41,,,10,18,41,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,"flat or compressed, terete",41,no prominent ribs or wing-angles,41
Non-orchid Monocots,TRUE,Liliaceae,Lilium superbum,L.,raceme,41,,,,,,,1,22,41,glabrous,41,,,,74,191,41,,,,,,,,,,,,present,41,,,,,,29,62,41,,,17,25,41,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,"flat or compressed, terete",41,no prominent ribs or wing-angles,41
Non-orchid Monocots,TRUE,Ruscaceae,Maianthemum canadense,Desf.,raceme,41,20,50,46,,,,12,25,41,,,,,,3,7,41,,,,,absent,41,,,,,,present,41,,,,,,4,6,41,,,4,6,41,,,,fleshy,41,berry,41,red,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,43,terete,41,,
Non-orchid Monocots,TRUE,Ruscaceae,Maianthemum racemosum,(L.) Link,panicle,41,30,150,46,,,,70,250,41,,,,,,0.5,1,41,,,,,absent,41,,,,,,present,41,,,,,,4,6,41,,,4,6,41,,,,fleshy,41,berry,41,red,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,43,terete,41,,
Non-orchid Monocots,TRUE,Ruscaceae,Maianthemum stellatum,(L.) Link,raceme,41,20,50,46,,,,6,15,41,,,20,,44,6,12,41,,,,,absent,41,,,,,,present,41,,,,,,4,6,41,,,4,6,41,,,,fleshy,41,berry,41,red,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,43,terete,41,,
Non-orchid Monocots,TRUE,Liliaceae,Medeola virginiana,L.,umbel,41,,,,,,,2,9,41,,,,,,15,25,46,"erect, ascending, or spreading, recurved ",41,,,absent,41,,,,,,,,,,,,,5,14,41,,,5,14,41,,,,fleshy,41,berry,41,"other, purple",41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Acoraceae,Acorus americanus,(Raf.) Raf.,spike,42,33,87,42,4.7,13.3,42,,,,,,,,,,,,,,,,absent,42,,,,,,present,42,,,,,,4,6,42,,,,,,,,,fleshy,42,berry,42,"red, brown",42,fleshy fruit with spots or streaks at maturity,42,characters of fruit,42,triangular,42,,
Non-orchid Monocots,TRUE,Acoraceae,Acorus calamus,L.,spike,42,38,89,42,5.3,10.8,42,,,,,,150,500,45,,,,,,,,absent,42,,,,,,present,42,15,90,43,,,4,5,46,,,,2,46,,,,fleshy,42,berry,42,"red, brown",42,fleshy fruit with spots or streaks at maturity,42,characters of fruit,42,,,,
Non-orchid Monocots,TRUE,Nartheciaceae,Aletris farinosa,L.,raceme,41,100,200,41,,,,,,,,,400,1000,41,,,,"erect, ascending, or spreading",44,,,,,,,,,,present,41,,,,,,,,,,,,,,,,,dry and dehiscent,45,capsule,41,,,,,characters of fruit,41,,,,
Non-orchid Monocots,TRUE,Alismataceae,Alisma subcordatum,Raf.,panicle,42,,1000,42,,,,,,,,,,,,,,,,,,,absent,42,,,,,,present,42,,,,,,1.5,2.2,46,,,2,4,42,,,,,,achene,42,,,,,,,flat or compressed,42,,
Non-orchid Monocots,TRUE,Alismataceae,Alisma triviale,Pursh,panicle,42,,1000,42,,,,,,,,,,,,,,,,,,,absent,42,,,,,,present,42,,,,,,1.8,3,44,,,4.1,7,42,,,,,,achene,42,,,,,,,flat or compressed,42,,
Non-orchid Monocots,TRUE,Alliaceae,Allium canadense,L.,umbel,41,,,,,,,0,10,41,,,100,600,41,10,70,41,"erect, ascending, or spreading",41,,,present,41,,,,merely subtending (but not enclosing) inflorescence,41,absent,41,,,,,,,,,,,,,,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,,,,
Non-orchid Monocots,TRUE,Alliaceae,Allium schoenoprasum,L.,umbel,41,,,,15,50,43,30,50,41,,,200,500,41,2,6,41,"erect, ascending, or spreading",41,,,present,41,,15,43,merely subtending (but not enclosing) inflorescence,41,absent,41,,,,,,,4,41,,,,,,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,,,,
Non-orchid Monocots,TRUE,Alliaceae,Allium tricoccum,Ait.,umbel,41,,,,,,,6,50,41,,,120,350,41,10,20,41,"erect, ascending, or spreading",41,,,present,41,10,30,46,merely subtending (but not enclosing) inflorescence,41,absent,41,,,,,,,,,,,,,,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,,,,
Non-orchid Monocots,TRUE,Araceae,Arisaema triphyllum,(L.) Schott,spike,42,30,90,42,,,,,,,,,30,200,46,3,900,42,,,,,present,42,60,160,42,encircling inflorescence,42,absent,42,,,,,,6,15,42,,,,,,,,,fleshy,42,berry,42,"red, orange",42,fleshy fruit with relatively uniform color at maturity,42,characters of fruit,44,flat or compressed,42,,
Non-orchid Monocots,TRUE,Asparagaceae,Asparagus officinalis,L.,"axillary flowers, raceme",41,,,,,,,1,3,41,,,,,,8,12,41,,,,,,,,,,,,,,,,,,,6,10,41,,,6,10,41,,,,fleshy,41,berry,41,red,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Araceae,Calla palustris,L.,spike,42,15,25,42,7,15,45,3,900,42,,,150,300,45,,,,,,,,present,42,30,80,42,merely subtending (but not enclosing) inflorescence,42,absent,42,,,,,,6,12,42,,,5,10,42,,,,fleshy,42,berry,42,red,42,fleshy fruit with relatively uniform color at maturity,42,characters of fruit,42,terete,42,,
Non-orchid Monocots,TRUE,Liliaceae,Clintonia borealis,(Ait.) Raf.,umbel,44,,,,,,,3,10,41,,,,,,10,30,46,"erect, ascending, or spreading",46,pubescent,46,absent,41,,,,,,present,41,,,,,,8,12,41,,,,,,,,,fleshy,41,berry,41,blue,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,flat or compressed,41,,
Non-orchid Monocots,TRUE,Commelinaceae,Commelina communis,L.,scorpioid cyme,42,,,,,,,,,,,,8,50,42,3,6,45,,,,,present,42,15,35,42,,,absent,42,,,,,,4.5,8,42,,,,,,,,,dry and dehiscent,42,capsule,42,,,,,characters of fruit,42,,,,
Non-orchid Monocots,TRUE,Ruscaceae,Convallaria majalis,L.,raceme,41,100,300,41,,,,5,15,41,,,100,230,41,7,12,41,recurved ,41,,,absent,41,,,,,,present,41,4,10,41,,,6,12,41,,,,,,,,,fleshy,41,berry,41,"red, orange",41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,,,,
Non-orchid Monocots,TRUE,Araceae,Peltandra virginica,(L.) Schott,spike,42,70,250,42,,,,3,900,42,,,200,560,42,,,,,,,,present,42,100,200,46,encircling inflorescence,42,absent,42,,,,,,10,18,42,,,6,16,42,,,,fleshy,42,berry,42,"red, green, purple, brown",42,fleshy fruit with spots or streaks at maturity,42,characters of fruit,42,,,,
Non-orchid Monocots,TRUE,Ruscaceae,Polygonatum biflorum,(Walt.) Ell.,"axillary flowers, raceme",41,,,,,,,2,15,41,,,60,90,41,10,40,41,,,glabrous,41,absent,41,,,,,,,,,,,,,8,12,41,,,8,12,41,,,,fleshy,41,berry,41,"other, blue",41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Ruscaceae,Polygonatum pubescens,(Willd.) Pursh,"axillary flowers, raceme",41,,,,,,,1,5,41,,,,,,,13,41,,,glabrous,41,absent,41,,,,,,,,,,,,,6,9,41,,,6,9,41,,,,fleshy,41,berry,41,"other, blue",41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Pontederiaceae,Pontederia cordata,L.,spike,41,20,150,41,,,,50,,41,"pubescent, in part, with glandular hairs",46,,,,,,,,,,,present,41,50,170,41,,,absent,41,,,,,,4,6,41,,,2,3,41,,,,dry and indehiscent,41,achene,41,,,,,characters of fruit,41,"flat or compressed, terete",41,,
"Non-thalloid aquatic, Non-orchid Monocots",TRUE,Alismataceae,Sagittaria cuneata,Sheldon,"panicle, raceme",42,140,210,42,20,100,42,,,,,,100,500,42,5,20,42,"erect, ascending, or spreading",42,,,absent,42,,,,,,present,42,10,40,46,,,1.8,2.6,42,,,1.3,2.5,42,0.1,0.5,44,,,achene,42,,,,,,,flat or compressed,42,,
"Non-thalloid aquatic, Non-orchid Monocots",TRUE,Alismataceae,Sagittaria graminea,Michx.,"panicle, raceme",42,25,210,42,10,80,42,,,,,,65,297,42,5,30,42,"erect, ascending, or spreading",42,,,absent,42,,,,,,present,42,20,50,42,,,1.5,2.8,42,,,1.1,1.5,42,0.1,0.3,44,,,achene,42,,,,,,,flat or compressed,42,,
Non-orchid Monocots,TRUE,Alismataceae,Sagittaria latifolia,Willd.,"panicle, raceme",42,45,285,42,40,230,42,,,,,,100,590,42,5,35,42,"erect, ascending, or spreading",42,,,absent,42,,,,,,present,42,3,8,42,,,2.5,4,44,,,,2,42,0.6,1.8,44,,,achene,42,,,,,,,flat or compressed,42,,
Non-orchid Monocots,TRUE,Iridaceae,Sisyrinchium angustifolium,P. Mill.,monochasial cyme,41,,,,,,,1,15,41,glabrous,41,,,,,,,"erect, ascending, or spreading",41,,,present,41,18,38,44,merely subtending (but not enclosing) inflorescence,46,present,41,,,,,,4,7,41,,,4,7,41,,,,dry and dehiscent,45,capsule,41,,,,,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Iridaceae,Sisyrinchium atlanticum,Bickn.,monochasial cyme,41,,,,,,,1,15,41,glabrous,41,,,,,,,"erect, ascending, or spreading",41,,,present,41,12,18,44,merely subtending (but not enclosing) inflorescence,46,present,41,,,,,,2,4.1,41,,,2,4.1,41,,,,dry and dehiscent,45,capsule,41,,,,,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Iridaceae,Sisyrinchium montanum,Greene,monochasial cyme,41,,,,,,,1,15,41,glabrous,41,,,,,,,"erect, ascending, or spreading",41,,,present,41,15,70,46,merely subtending (but not enclosing) inflorescence,46,present,41,,,,,,4,6.8,41,,,4,6.8,41,,,,dry and dehiscent,45,capsule,41,,,,,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Smilacaceae,Smilax herbacea,L.,"umbel, axillary flowers",41,,,,,,,20,,41,,,,300,41,0.5,2,41,,,,,,,,,,,,,,,,,,,8,10,46,,,8,10,46,,,,fleshy,41,berry,41,blue,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Typhaceae,Sparganium americanum,Nutt.,axillary flowers,42,,,,,,,,,,,,,,,,,,,,,,absent,42,,,,,,present,42,,,,,,3.5,7,42,,,,,,3,5,42,dry and indehiscent,42,drupe,42,,,,,,,flat or compressed,42,,
Non-orchid Monocots,TRUE,Typhaceae,Sparganium emersum,Rehmann,axillary flowers,42,,,,,,,,,,,,,,,,,,,,,,absent,42,,,,,,present,42,,,,,,3,4,42,,,1.5,2,42,2,4.5,42,dry and indehiscent,42,drupe,42,,,,,,,flat or compressed,42,,
Non-orchid Monocots,TRUE,Typhaceae,Sparganium eurycarpum,Engelm. ex Gray,axillary flowers,42,,,,,,,,,,,,,,,,,,,,,,absent,42,,,,,,present,42,,,,,,5,10,42,,,,,,2,4,42,dry and indehiscent,42,drupe,42,,,,,characters of fruit,44,triangular,42,,
Non-orchid Monocots,TRUE,Liliaceae,Streptopus amplexifolius,(L.) DC.,axillary flowers,41,,,,,,,,,,,,,,,20,50,41,recurved ,41,glabrous,41,absent,41,,,,,,,,,,,,,10,12,41,,,,,,,,,fleshy,41,berry,41,"red, orange, yellow",41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,,,,
Non-orchid Monocots,TRUE,Liliaceae,Streptopus lanceolatus,(Ait.) Reveal,axillary flowers,41,,,,,,,,,,,,,,,5,20,41,recurved ,41,pubescent,41,absent,41,,,,,,,,,,,,,6,9,41,,,6,9,41,,,,fleshy,41,berry,41,"red, purple",41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Araceae,Symplocarpus foetidus,(L.) Salisb. ex Nutt.,spike,42,20,30,42,15,30,42,3,900,42,,,,,,,,,,,,,present,42,60,180,42,encircling inflorescence,42,absent,42,,,,,,,,,,,,,,,,,fleshy,42,berry,42,"red, green, purple, brown",42,fleshy fruit with relatively uniform color at maturity,42,characters of fruit,42,flat or compressed,42,,
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium cernuum,L.,solitary flower,41,,,,,,,1,1,41,,,10,50,44,15,30,41,recurved ,41,,,absent,41,,,,,,,,,,,,,,30,41,,,,30,41,,,,fleshy,41,berry,41,red,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,"flat or compressed, terete",41,,
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium erectum,L.,solitary flower,41,,,,,,,1,1,41,,,30,80,46,10,100,41,"erect, ascending, or spreading",41,,,absent,41,,,,,,,,,,,,,10,16,41,,,10,15,41,,,,fleshy,41,berry,41,"red, purple",41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,"terete, triangular",41,,
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium grandiflorum,(Michx.) Salisb.,solitary flower,41,,,,,,,1,1,41,,,50,80,46,20,80,41,"erect, ascending, or spreading",41,,,absent,41,,,,,,,,,,,,,12,16,41,,,8,14,41,,,,fleshy,41,berry,41,green,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,terete,41,,
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium undulatum,Willd.,solitary flower,41,,,,,,,1,1,41,,,20,50,46,20,50,41,"erect, ascending, or spreading",41,,,absent,41,,,,,,,,,,,,,10,20,41,,,,,,,,,fleshy,41,berry,41,red,41,fleshy fruit with relatively uniform color at maturity,41,characters of fruit,41,"flat or compressed, terete, triangular",41,,
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia grandiflora,J.E. Sm.,axillary flowers,44,,,,,,,1,4,41,glabrous,46,10,25,41,,,,,,,,absent,41,,,,,,present,41,,,,,,10,15,41,,,10,20,41,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,triangular,44,3 ribs or wing-angles,46
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia perfoliata,L.,solitary flower,41,,,,,,,1,1,41,"pubescent, in part, with glandular hairs",46,10,20,41,,,,,,,,absent,41,,,,,,present,41,,,,,,7,13,41,,,10,16,41,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,triangular,44,3 ribs or wing-angles,46
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia sessilifolia,L.,solitary flower,41,,,,,,,1,1,41,,,6,16,41,,,,,,,,absent,41,,,,,,absent,41,,,,,,20,30,41,,,10,16,41,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,triangular,44,3 ribs or wing-angles,41
Non-orchid Monocots,TRUE,Melanthiaceae,Veratrum viride,Ait.,panicle,41,300,700,41,,,,,,,pubescent entirely with eglandular hairs,46,,,,2,10,41,,,,,absent,41,,,,,,present,41,,,,,,20,30,41,,,,,,,,,dry and dehiscent,41,capsule,41,,,,,characters of fruit,41,flat or compressed,41,3 ribs or wing-angles,41
Non-orchid Monocots,TRUE,Xyridaceae,Xyris montana,Ries,"axillary flowers, spike",42,4,8,42,,,,,,,,,,,,,,,,,,,,,,,,,,present,42,3,4.5,42,,,,,,,,,,,,,,dry and dehiscent,42,capsule,42,,,,,characters of fruit,42,,,,
