Pile,Simple_key,Family,Scientific_Name,Taxonomic_Authority,perianth_description_nm,perianth_description_nm_litsrc,flower_symmetry_nm,flower_symmetry_nm_litsrc,flower_orientation_nm,flower_orientation_nm_litsrc,perianth_number_nm,perianth_number_nm_litsrc,perianth_shape_nm,perianth_shape_nm_litsrc,perianth_fusion_nm,perianth_fusion_nm_litsrc,tepals_nm,tepals_nm_litsrc,sepal_number_nm,sepal_number_nm_litsrc,sepal_appearance_nm,sepal_appearance_nm_litsrc,sepal_length_min_nm,sepal_length_max_nm,sepal_length_nm_litsrc,sepal_fusion_nm,sepal_fusion_nm_litsrc,sepal_orientation_nm,sepal_orientation_nm_litsrc,petal_number_nm,petal_number_nm_litsrc,petal_appearance_nm,petal_appearance_nm_litsrc,petal_color_nm,petal_color_nm_litsrc,petal_spots_or_streaks_nm,petal_spots_or_streaks_nm_litsrc,petal_length_min_nm,petal_length_max_nm,petal_length_nm_litsrc,petals_fringed_on_margin_nm,petals_fringed_on_margin_nm_litsrc,petals_pubescent_on_adaxial_surface_nm,petals_pubescent_on_adaxial_surface_nm_litsrc,petal_base_nm,petal_base_nm_litsrc,petal_nectaries_nm,petal_nectaries_nm_litsrc,stamen_number_nm,stamen_number_nm_litsrc,stamen_length_min_nm,stamen_length_max_nm,stamen_length_nm_litsrc,stamen_fusion_outside_cycle_nm,stamen_fusion_outside_cycle_nm_litsrc,stamen_morphology_nm,stamen_morphology_nm_litsrc,anther_length_min_nm,anther_length_max_nm,anther_length_nm_litsrc,anther_color_nm,anther_color_nm_litsrc,anther_attachment_nm,anther_attachment_nm_litsrc,filament_surface_nm,filament_surface_nm_litsrc,stamen_fusion_within_cycle_nm,stamen_fusion_within_cycle_nm_litsrc,stamen_fusion_outside_of_cycle,stamen_fusion_outside_of_cycle_litsrc,stamen_position_nm,stamen_position_nm_litsrc,pistil_number_nm,pistil_number_nm_litsrc,carpel_number_min_nm,carpel_number_max_nm,carpel_number_nm_litsrc,carpel_fusion_nm,carpel_fusion_nm_litsrc,style_number_min_nm,style_number_max_nm,style_number_nm_litsrc,style_length_min_nm,style_length_max_nm,style_length_nm_litsrc,style_morphology_nm,style_morphology_nm_litsrc,style_form_nm,style_form_nm_litsrc,ovary_position_nm,ovary_position_nm_litsrc,nectary_spur_nm,nectary_spur_nm_litsrc,spur_length_nm,spur_length_nm_litsrc,flowers_replaced_by_bulblets_nm,flowers_replaced_by_bulblets_nm_litsrc
Non-orchid Monocots,TRUE,Acoraceae,Acorus americanus,(Raf.) Raf.,,,,,,,six,42,cylindric,42,,,perianth members essentially colored alike,42,,,sepaloid,43,,,,distinct,43,,,,,sepaloid,43,"yellow, green to brown",42,,,,,,,,,,,,,,1843,42,,,,free,42,,,,,,anthocyanic,42,,,,,distinct,42,free,42,,,,,3,,42,,,0,1,42,,,,1691,42,1768,46,superior,46,,,,,1772,44
Non-orchid Monocots,TRUE,Acoraceae,Acorus calamus,L.,,,,,,,six,42,cylindric,42,distinct,45,perianth members essentially colored alike,42,,,sepaloid,43,,,,distinct,43,,,,,sepaloid,43,"yellow, green to brown",42,,,,,,,,,,,,,,1843,42,1.7,2.9,45,free,42,,,,0.5,45,non-anthocyanic,42,,,,,distinct,42,free,42,,,,,3,,42,,,0,1,42,,,,1691,42,1768,46,superior,46,,,,,1772,44
Non-orchid Monocots,TRUE,Nartheciaceae,Aletris farinosa,L.,,,actinomorphic,44,,,six,41,cylindric,41,connate,41,perianth members essentially colored alike,41,,,petaloid,44,2,2.5,46,connate,44,ascending to spreading,41,,,petaloid,44,white,41,absent,41,2,2.5,46,no,41,,,,,,,1843,41,,,,"adnate (i.e., epipetalous or epitepalous)",41,,,,,,,,basifixed,45,beset with rough hairs/scales,41,,,adnate,41,,,1,41,3,3,41,1766,41,1,1,41,,,,1691,41,1798,46,"superior, inferior",41,,,,,1772,44
Non-orchid Monocots,TRUE,Alismataceae,Alisma subcordatum,Raf.,dichlamydeous,44,actinomorphic,46,,,six,42,,,,,,,3,42,sepaloid,44,1.5,6,42,,,erect to appressed,42,3,42,petaloid,44,white,42,,,1.8,2.5,44,no,42,,,not narrowed to an obvious claw,42,,,1843,44,,,,free,42,,,0.4,0.6,42,,,,,smooth,42,distinct,42,free,42,,,6 or more,42,11,28,43,1690,43,,,,0.2,0.4,42,1691,42,,,,,,,,,1772,44
Non-orchid Monocots,TRUE,Alismataceae,Alisma triviale,Pursh,dichlamydeous,44,actinomorphic,46,,,six,42,,,,,,,3,42,sepaloid,44,3,6,42,,,erect to appressed,42,3,42,petaloid,44,white,42,,,3.8,4.5,44,no,42,,,not narrowed to an obvious claw,42,,,1843,44,,,,free,42,,,0.6,1,42,,,,,smooth,42,distinct,42,free,42,,,6 or more,42,11,28,43,1690,43,,,,0.4,0.6,42,,42,,,,,,,,,1772,44
Non-orchid Monocots,TRUE,Alliaceae,Allium canadense,L.,dichlamydeous,41,actinomorphic,44,erect to spreading,41,six,41,"campanulate, urceolate",41,distinct,41,perianth members essentially colored alike,41,3,41,petaloid,41,,,,,,"erect to appressed, ascending to spreading",41,3,41,petaloid,41,"white, pink to red",41,absent,41,,,,no,41,,,,,,,1843,41,,,,"adnate (i.e., epipetalous or epitepalous)",41,dimorphic as to length and/or width within the cycle,46,,,,non-anthocyanic,41,,,smooth,41,connate,41,adnate,41,,,1,41,3,,41,1766,41,1,,41,,,,1691,41,"1768, 1798",41,superior,41,,,,,1696,41
Non-orchid Monocots,TRUE,Alliaceae,Allium schoenoprasum,L.,dichlamydeous,41,actinomorphic,44,erect to spreading,41,six,41,campanulate,41,distinct,41,perianth members essentially colored alike,41,3,41,petaloid,41,7,15,41,,,erect to appressed,41,3,41,petaloid,41,"pink to red, blue to purple",41,absent,44,7,15,41,no,41,,,,,,,1843,41,,,,"adnate (i.e., epipetalous or epitepalous)",41,dimorphic as to length and/or width within the cycle,46,,,,anthocyanic,41,,,smooth,41,connate,41,adnate,41,,,1,41,3,,41,1766,41,1,,41,,,,1691,41,1768,41,superior,41,,,,,1772,46
Non-orchid Monocots,TRUE,Alliaceae,Allium tricoccum,Ait.,dichlamydeous,41,actinomorphic,44,erect to spreading,41,six,41,campanulate,41,distinct,41,perianth members essentially colored alike,41,3,41,petaloid,41,,,,,,erect to appressed,41,3,41,petaloid,41,"white, yellow",41,absent,41,,,,no,41,,,,,,,1843,41,,,,"adnate (i.e., epipetalous or epitepalous)",41,monomorphic within the cycle,46,,,,non-anthocyanic,41,,,smooth,41,connate,41,adnate,41,,,1,41,3,,41,1766,41,1,,41,,,,1691,41,1768,41,superior,41,,,,,1696,41
Non-orchid Monocots,TRUE,Araceae,Arisaema triphyllum,(L.) Schott,absent,42,,,,,absent or not readily discernable,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1796, 1815, 1829",42,,,,,,,,,,,,,,,,,,,,,,,1,42,1,,44,,,1,,42,,,,,,,,superior,46,,,,,1772,44
Non-orchid Monocots,TRUE,Asparagaceae,Asparagus officinalis,L.,monochlamydeous,41,actinomorphic,44,,,six,41,campanulate,41,connate,41,perianth members essentially colored alike,41,,,petaloid,44,3,8,41,,,,,,,petaloid,44,"white, yellow, green to brown",41,absent,41,3,8,41,,,,,,,,,1843,41,1.4,3.2,43,"adnate (i.e., epipetalous or epitepalous)",45,,,0.7,1.6,43,,,mesifixed,41,,,distinct,41,adnate,45,,,1,41,3,3,41,1766,41,1,1,41,,,,1691,41,1817,41,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Araceae,Calla palustris,L.,absent,42,,,,,absent or not readily discernable,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1617, 1620, 1624, 1843, 1856, 1864, 1870",42,,,,free,45,dimorphic as to length and/or width within the cycle,42,,,,,,mesifixed,45,,,distinct,45,free,45,,,1,42,1,,42,,,1,,42,,,,,,,,superior,46,,,,,1772,44
Non-orchid Monocots,TRUE,Liliaceae,Clintonia borealis,(Ait.) Raf.,,,actinomorphic,44,drooping or nodding,41,six,41,,,distinct,41,perianth members essentially colored alike,41,,,petaloid,44,12,16,41,distinct,44,"ascending to spreading, recurved",44,,,petaloid,41,"yellow, green to brown",41,absent,41,12,16,41,no,41,,,not narrowed to an obvious claw,41,petals with one or more nectaries,41,1843,41,14,21,41,free,44,,,2,3.5,41,,,basifixed,45,beset with rough hairs/scales,41,distinct,41,free,44,,,,,2,2,41,1766,41,1,1,41,,,,1691,41,1798,41,superior,41,,,,,1772,44
