id,Pile,Division,Simple_key,Family,Family_Comment,Genus,Scientific_Name,Taxonomic_Authority,Distribution,factoid,uses,conservation_status_me,conservation_status_nh,conservation_status_vt,conservation_status_ma,conservation_status_ct,conservation_status_ri,native_to_north_america,invasive_in_which_states,prohibited_from_sale_states,habitat,habitat_lit_src,wetland_status,authority,synonymy_1,synonymy_2,synonymy_3,Comment,Lookalike_tips,BDES
2,Lycophytes,Lycophytes,TRUE,Huperziaceae,,,Huperzia appressa,(Desv.) A. & D. Löve,"CT, MA, ME, NH, VT",,,X,X,X,X,X,,TRUE,,,"Mountain summits, Ridges/Ledges, Cliffs/Balds",,,(Desv.) A. & D. Löve,Huperzia appalachiana Beitel & Mickel,Huperzia selago (L.) Schrank & Mart. ssp. appressa(Desv.) D. Löve,Lycopodium selago L. var. appressum Desv,Huperzia appalachiana Beitel & Mickel; Huperzia selago (L.) Schrank & Mart. ssp. appressa(Desv.) D. Löve; Lycopodium selago L. var. appressum Desv.; Lycopodium selago L. ssp. appressum(Desv.) Hultén; Urostachys selago (L.) Herter var. appressus (Desv.) He,,MH
3,Lycophytes,Lycophytes,TRUE,Huperziaceae,,,Huperzia lucidula,(Michx.) Trevisan,"CT, MA, ME, NH, RI, VT",,,X,X,X,X,X,X,TRUE,,,Forest,,FACW-,(Michx.) Trevisan,Lycopodium lucidulum Michx.,Urostachys lucidulus(Michx.) Ness.,,Lycopodium lucidulum Michx.; Urostachys lucidulus(Michx.) Ness.,,MH
5,Lycophytes,Lycophytes,TRUE,Isoetaceae,,,Isoetes echinospora,Durieu,"CT, MA, ME, NH, RI, VT",,,X,X,X,X,X,C,TRUE,,,"Wetland margins, Lacustrine",,OBL,Durieu,Isoetes braunii Durieu,Isoetes echinospora var. braunii (Durieu) Engelm.,Isoetes muricata Durieu,Isoetes braunii Durieu; Isoetes echinospora var. braunii (Durieu) Engelm.; Isoetes muricata Durieu,,MH
6,Lycophytes,Lycophytes,TRUE,Isoetaceae,,,Isoetes lacustris,L.,"CT, MA, ME, NH, RI, VT",,,X,E,X,E,X,X,TRUE,,,Lacustrine,,OBL,L.,Isoetes macrospora Durieu,,,Isoetes macrospora Durieu,,MH
7,Lycophytes,Lycophytes,TRUE,Isoetaceae,,,Isoetes tuckermanii,A. Braun ex Engelm.,"CT, MA, ME, NH, RI, VT",,,X,X,X,X,X,X,TRUE,,,Lacustrine,,OBL,A. Braun ex Engelm.,,,,,,MH
9,Lycophytes,Lycophytes,TRUE,Lycopodiaceae,(see also Huperziaceae),,Dendrolycopodium dendroideum,(Michx.) A. Haines,"CT, MA, ME, NH, VT",,,X,X,X,X,X,,TRUE,,,"Forest, Woodland",,FACU,(Michx.) A. Haines,Lycopodium dendroideum Michx,Lycopodium obscurum L. var. dendroideum (Michx.) D.C. Eat,Lycopodium obscurum L. var. hybridum Farw,Lycopodium dendroideum Michx.; Lycopodium obscurum L. var. dendroideum (Michx.) D.C. Eat.; Lycopodium obscurum L. var. hybridum Farw.,,MH
10,Lycophytes,Lycophytes,TRUE,Lycopodiaceae,(see also Huperziaceae),,Dendrolycopodium hickeyi,"(W.H. Wagner, Beitel, & Moran) A. Haines","CT, MA, ME, NH, RI, VT",,,X,X,X,X,X,X,TRUE,,,"Forest, Woodland",,,"(W.H. Wagner, Beitel, & Moran) A. Haines","Lycopodium hickeyi W.H. Wagner, Beitel, & Moran",Lycopodium obscurum L. var. isophyllum Hickey,,"Lycopodium hickeyi W.H. Wagner, Beitel, & Moran; Lycopodium obscurum L. var. isophyllum Hickey",,MH
11,Lycophytes,Lycophytes,TRUE,Lycopodiaceae,(see also Huperziaceae),,Dendrolycopodium obscurum,(L.) A. Haines,"CT, MA, ME, NH, RI, VT",,,X,X,X,X,X,X,TRUE,,,"Forest, Woodland",,FACU,(L.) A. Haines,Lycopodium obscurum L.,,,Lycopodium obscurum L.,,MH
12,Lycophytes,Lycophytes,TRUE,Lycopodiaceae,(see also Huperziaceae),,Diphasiastrum digitatum,(Dill. ex A. Braun) Holub,"CT, MA, ME, NH, RI, VT",,,X,X,X,X,X,X,TRUE,,,"Forest, Forest Edges, Meadows and fields",,,(Dill. ex A. Braun) Holub,Diphasium flabelliforme (Fern.) Blanch.,Lycopodium complanatum L. var. flabelliforme Fern.,Lycopodium digitatum Dill. ex A. Braun; Lycopodium flabelliforme (Fern.) Blanch.,Diphasium flabelliforme (Fern.) Blanch.; Lycopodium complanatum L. var. flabelliforme Fern.; Lycopodium digitatum Dill. ex A. Braun; Lycopodium flabelliforme (Fern.) Blanch.,,MH
13,Lycophytes,Lycophytes,TRUE,Lycopodiaceae,(see also Huperziaceae),,Diphasiastrum tristachyum,(Pursh) Holub,"CT, MA, ME, NH, RI, VT",,,X,X,X,X,X,X,TRUE,,,"Forest, Woodland, Forest Edges",,,(Pursh) Holub,Diphasium tristachyum(Pursh) Rothm,Lycopodium chamaecyparissusA. Br. ex Mutel,Lycopodium tristachyumPursh,Diphasium tristachyum(Pursh) Rothm.; Lycopodium chamaecyparissusA. Br. ex Mutel; Lycopodium tristachyumPursh,,MH
