Code,Name,Friendly_Description,Sequence
OBL,Obligate Wetland,Occurs only in wetlands.,1
FACW+,Facultative Wetland,"Occurs most often in wetlands, but rarely in non-wetlands.",2
FACW,Facultative Wetland,"Usually occurs in wetlands, but occasionally in non-wetlands.",3
FACW-,Facultative Wetland,"Occurs in wetlands, but also in non-wetlands more than occasionally.",4
FAC+,Facultative,Occurs in wetlands or non-wetlands.,5
FAC,Facultative,Occurs in wetlands or non-wetlands.,6
FAC-,Facultative,Occurs in wetlands or non-wetlands.,7
FACU+,Facultative Upland,"Usually occurs in non-wetlands, but also in wetlands more than occasionally.",8
FACU,Facultative Upland,"Usually occurs in non-wetlands, but occasionally in wetlands.",9
FACU-,Facultative Upland,"Occurs most often in non-wetlands, but rarely in wetlands.",10
UPL,Obligate Upland,Occurs only in non-wetlands.,11
